model,noise,seed,accuracy,f1,disagreement
Выбрано по CV,0.2,15,0.96,0.96045197740113,0.005714285714285714
"k=1, uniform",0.0,16,0.9714285714285714,0.9720670391061452,0.0
"k=1, uniform",0.05,16,0.9485714285714286,0.9485714285714286,0.03428571428571429
"k=1, uniform",0.1,16,0.9142857142857143,0.9162011173184358,0.06857142857142857
"k=1, uniform",0.2,16,0.84,0.8409090909090909,0.15428571428571428
"k=15, uniform",0.0,16,0.9828571428571429,0.9830508474576272,0.0
"k=15, uniform",0.05,16,0.9771428571428571,0.9772727272727273,0.005714285714285714
"k=15, uniform",0.1,16,0.9771428571428571,0.9772727272727273,0.005714285714285714
"k=15, uniform",0.2,16,0.9657142857142857,0.9662921348314607,0.017142857142857144
"k=15, distance",0.0,16,0.9885714285714285,0.9887640449438202,0.0
"k=15, distance",0.05,16,0.9771428571428571,0.9772727272727273,0.011428571428571429
"k=15, distance",0.1,16,0.9714285714285714,0.9714285714285714,0.017142857142857144
"k=15, distance",0.2,16,0.9485714285714286,0.9479768786127167,0.04
Выбрано по CV,0.0,16,0.9828571428571429,0.9830508474576272,0.0
Выбрано по CV,0.05,16,0.9771428571428571,0.9772727272727273,0.005714285714285714
Выбрано по CV,0.1,16,0.9714285714285714,0.9714285714285714,0.011428571428571429
Выбрано по CV,0.2,16,0.9657142857142857,0.9655172413793104,0.017142857142857144
"k=1, uniform",0.0,17,0.9428571428571428,0.9431818181818182,0.0
"k=1, uniform",0.05,17,0.8971428571428571,0.8953488372093024,0.045714285714285714
"k=1, uniform",0.1,17,0.8514285714285714,0.8452380952380952,0.09142857142857143
"k=1, uniform",0.2,17,0.6971428571428572,0.6535947712418301,0.24571428571428572
"k=15, uniform",0.0,17,0.9714285714285714,0.9714285714285714,0.0
"k=15, uniform",0.05,17,0.9714285714285714,0.9714285714285714,0.0
"k=15, uniform",0.1,17,0.9657142857142857,0.9659090909090909,0.005714285714285714
"k=15, uniform",0.2,17,0.9314285714285714,0.9302325581395349,0.05142857142857143
"k=15, distance",0.0,17,0.9657142857142857,0.9659090909090909,0.0
"k=15, distance",0.05,17,0.96,0.96045197740113,0.005714285714285714
"k=15, distance",0.1,17,0.9485714285714286,0.9491525423728814,0.017142857142857144
"k=15, distance",0.2,17,0.9028571428571428,0.8994082840236687,0.06285714285714286
Выбрано по CV,0.0,17,0.9771428571428571,0.9772727272727273,0.0
Выбрано по CV,0.05,17,0.9714285714285714,0.9717514124293786,0.017142857142857144
Выбрано по CV,0.1,17,0.9714285714285714,0.9717514124293786,0.02857142857142857
Выбрано по CV,0.2,17,0.9371428571428572,0.935672514619883,0.05142857142857143
"k=1, uniform",0.0,18,0.9371428571428572,0.9392265193370166,0.0
"k=1, uniform",0.05,18,0.8971428571428571,0.896551724137931,0.07428571428571429
"k=1, uniform",0.1,18,0.8457142857142858,0.847457627118644,0.12571428571428572
