k,weights,metric,train_accuracy_mean,train_f1_mean,cv_accuracy_mean,cv_f1_mean,train_accuracy_std,train_f1_std,cv_accuracy_std,cv_f1_std
11,uniform,minkowski_p1,0.9727380952380952,0.9732548230479919,0.9695238095238092,0.970139136168987,0.0026543691177042996,0.002566015042096833,0.016744231561148838,0.016119939206889096
15,uniform,minkowski_p1,0.9723809523809522,0.9729679554696591,0.9695238095238092,0.970139136168987,0.003083113353327353,0.003014282097823333,0.016744231561148838,0.016119939206889096
21,uniform,minkowski_p1,0.9719047619047618,0.9725177166984681,0.9690476190476188,0.9696954438697217,0.0031991328392591578,0.003096080126245095,0.01495051767063667,0.014403604358677241
31,uniform,minkowski_p1,0.9701190476190475,0.9707302460038456,0.9666666666666665,0.9673391005852786,0.0034722627143735367,0.0033985284230387738,0.016347775293466565,0.015851363218835523
51,uniform,minkowski_p1,0.9686904761904761,0.9693521603283298,0.9676190476190475,0.9682605514563272,0.004520899529505091,0.0044193827932105375,0.019064618264788825,0.01856454194426307
101,uniform,minkowski_p1,0.9535714285714287,0.9545671680897921,0.9499999999999997,0.9510395060461837,0.003306500356330572,0.0032205810537332433,0.019280044518052247,0.01863557201483897
201,uniform,minkowski_p1,0.8605952380952382,0.8642526069808024,0.8604761904761905,0.8636333706775042,0.007709260772090257,0.007645415778869169,0.028168933669932717,0.028327870380411985
501,uniform,minkowski_p1,0.7291666666666665,0.7345852311936268,0.7285714285714288,0.7331358597557406,0.009489201576004625,0.010167959094602535,0.036720518807033836,0.040154144973894926
1,distance,minkowski_p1,1.0,1.0,0.949047619047619,0.9502520209896956,0.0,0.0,0.01746856123672595,0.017391409954410377
3,distance,minkowski_p1,1.0,1.0,0.9599999999999999,0.960656184021325,0.0,0.0,0.01546179340806189,0.015113918026142606
5,distance,minkowski_p1,1.0,1.0,0.9647619047619046,0.9652825293735194,0.0,0.0,0.014901686235876042,0.014970595330614336
7,distance,minkowski_p1,1.0,1.0,0.9680952380952379,0.9685322104412476,0.0,0.0,0.013730715781760794,0.013794487962622951
9,distance,minkowski_p1,1.0,1.0,0.9671428571428571,0.9677441411284651,0.0,0.0,0.01522427094004756,0.014844957597298512
11,distance,minkowski_p1,1.0,1.0,0.9704761904761904,0.9711594541132804,0.0,0.0,0.014754222271266349,0.014164152544990878
15,distance,minkowski_p1,1.0,1.0,0.9690476190476188,0.9697208304795056,0.0,0.0,0.014704738994025362,0.014118091537667993
21,distance,minkowski_p1,1.0,1.0,0.9714285714285714,0.9720841489908437,0.0,0.0,0.01453857841711735,0.014001741797195665
31,distance,minkowski_p1,1.0,1.0,0.9704761904761904,0.9712091470907346,0.0,0.0,0.01661313073236972,0.015893715765159466
51,distance,minkowski_p1,1.0,1.0,0.9695238095238096,0.9701946352245421,0.0,0.0,0.016303129487866844,0.015763900075369906
101,distance,minkowski_p1,1.0,1.0,0.9657142857142856,0.966455085981061,0.0,0.0,0.0209469689980217,0.020372960857788044
201,distance,minkowski_p1,1.0,1.0,0.9447619047619048,0.9455750738703337,0.0,0.0,0.02451670856840664,0.024474534741491163
501,distance,minkowski_p1,1.0,1.0,0.9276190476190477,0.928761173947219,0.0,0.0,0.021910676515887587,0.02202916124320385
1,uniform,minkowski_p1.5,1.0,1.0,0.9499999999999998,0.9510226704972806,0.0,0.0,0.01909008870803032,0.019139082301965395
3,uniform,minkowski_p1.5,0.9754761904761905,0.9760538151568904,0.9609523809523808,0.9617790821999911,0.0042935019946468865,0.004186139793492716,0.01290994448735805,0.012655705183084716
5,uniform,minkowski_p1.5,0.976190476190476,0.9767373441981265,0.9666666666666666,0.9672187020733882,0.0029931489637411526,0.002890434743970246,0.014704738994025362,0.014421853368860713
7,uniform,minkowski_p1.5,0.9739285714285714,0.974410378219286,0.9699999999999999,0.9705675261715393,0.003222777897419123,0.0031329380855167227,0.015079961797478506,0.01467201820009261
