model,noise,seed,accuracy,f1,disagreement
depth=5,0.0,6,0.9571428571428572,0.9565217391304348,0.0
depth=5,0.05,6,0.9571428571428572,0.9565217391304348,0.0
depth=5,0.1,6,0.9142857142857143,0.9166666666666666,0.04285714285714286
depth=5,0.2,6,0.8428571428571429,0.8405797101449275,0.14285714285714285
leaf=5,0.0,6,0.9571428571428572,0.9565217391304348,0.0
leaf=5,0.05,6,0.9571428571428572,0.9565217391304348,0.0
leaf=5,0.1,6,0.9285714285714286,0.9295774647887324,0.02857142857142857
leaf=5,0.2,6,0.8714285714285714,0.8656716417910447,0.11428571428571428
leaf=10,0.0,6,0.9428571428571428,0.9428571428571428,0.0
leaf=10,0.05,6,0.9428571428571428,0.9428571428571428,0.0
leaf=10,0.1,6,0.9428571428571428,0.9428571428571428,0.0
leaf=10,0.2,6,0.9142857142857143,0.9117647058823529,0.08571428571428572
Выбрано по CV,0.0,6,0.9285714285714286,0.9253731343283582,0.0
Выбрано по CV,0.05,6,0.9428571428571428,0.9444444444444444,0.1
Выбрано по CV,0.1,6,0.9428571428571428,0.9428571428571428,0.07142857142857142
Выбрано по CV,0.2,6,0.7857142857142857,0.7887323943661971,0.2
Без ограничений,0.0,7,0.9857142857142858,0.9859154929577465,0.0
Без ограничений,0.05,7,0.8857142857142857,0.8974358974358975,0.1
Без ограничений,0.1,7,0.7857142857142857,0.7945205479452054,0.2
Без ограничений,0.2,7,0.7571428571428571,0.7671232876712328,0.2571428571428571
depth=3,0.0,7,0.9428571428571428,0.9459459459459459,0.0
depth=3,0.05,7,0.9285714285714286,0.9253731343283582,0.1
depth=3,0.1,7,0.9142857142857143,0.9117647058823529,0.11428571428571428
depth=3,0.2,7,0.9,0.8955223880597015,0.12857142857142856
depth=5,0.0,7,0.9857142857142858,0.9859154929577465,0.0
depth=5,0.05,7,0.9142857142857143,0.918918918918919,0.07142857142857142
depth=5,0.1,7,0.9428571428571428,0.9444444444444444,0.04285714285714286
depth=5,0.2,7,0.8142857142857143,0.821917808219178,0.17142857142857143
leaf=5,0.0,7,0.9857142857142858,0.9859154929577465,0.0
leaf=5,0.05,7,0.9285714285714286,0.9315068493150684,0.05714285714285714
leaf=5,0.1,7,0.8428571428571429,0.835820895522388,0.14285714285714285
leaf=5,0.2,7,0.7428571428571429,0.7428571428571429,0.2714285714285714
leaf=10,0.0,7,0.9714285714285714,0.9714285714285714,0.0
leaf=10,0.05,7,0.9,0.9066666666666666,0.1
leaf=10,0.1,7,0.9142857142857143,0.9142857142857143,0.08571428571428572
leaf=10,0.2,7,0.8571428571428571,0.8571428571428571,0.17142857142857143
Выбрано по CV,0.0,7,0.9428571428571428,0.9459459459459459,0.0
Выбрано по CV,0.05,7,0.8857142857142857,0.8947368421052632,0.08571428571428572
Выбрано по CV,0.1,7,0.8857142857142857,0.8888888888888888,0.17142857142857143
Выбрано по CV,0.2,7,0.6857142857142857,0.725,0.37142857142857144
Без ограничений,0.0,8,0.9,0.8985507246376812,0.0
Без ограничений,0.05,8,0.8714285714285714,0.8732394366197183,0.02857142857142857
Без ограничений,0.1,8,0.8,0.8108108108108109,0.1
Без ограничений,0.2,8,0.8428571428571429,0.835820895522388,0.22857142857142856
depth=3,0.0,8,0.8714285714285714,0.8831168831168831,0.0
depth=3,0.05,8,0.8428571428571429,0.8607594936708861,0.02857142857142857
depth=3,0.1,8,0.8142857142857143,0.8115942028985508,0.14285714285714285
depth=3,0.2,8,0.8714285714285714,0.8831168831168831,0.0
depth=5,0.0,8,0.9,0.8985507246376812,0.0
depth=5,0.05,8,0.9,0.9041095890410958,0.05714285714285714
depth=5,0.1,8,0.8428571428571429,0.8450704225352113,0.05714285714285714
depth=5,0.2,8,0.8857142857142857,0.8918918918918919,0.1
leaf=5,0.0,8,0.9285714285714286,0.9295774647887324,0.0
leaf=5,0.05,8,0.9,0.9041095890410958,0.02857142857142857
leaf=5,0.1,8,0.8428571428571429,0.8493150684931506,0.08571428571428572
leaf=5,0.2,8,0.8285714285714286,0.8378378378378378,0.15714285714285714
leaf=10,0.0,8,0.9142857142857143,0.9142857142857143,0.0
leaf=10,0.05,8,0.8714285714285714,0.8732394366197183,0.07142857142857142
leaf=10,0.1,8,0.8428571428571429,0.8493150684931506,0.1
leaf=10,0.2,8,0.8428571428571429,0.8405797101449275,0.18571428571428572
Выбрано по CV,0.0,8,0.8571428571428571,0.8571428571428571,0.0
Выбрано по CV,0.05,8,0.8857142857142857,0.8823529411764706,0.08571428571428572
Выбрано по CV,0.1,8,0.8714285714285714,0.8732394366197183,0.07142857142857142
Выбрано по CV,0.2,8,0.8571428571428571,0.8648648648648649,0.11428571428571428
Без ограничений,0.0,9,0.9714285714285714,0.9722222222222222,0.0
Без ограничений,0.05,9,0.9285714285714286,0.9295774647887324,0.04285714285714286
Без ограничений,0.1,9,0.8571428571428571,0.8611111111111112,0.11428571428571428
Без ограничений,0.2,9,0.7714285714285715,0.7647058823529411,0.22857142857142856
depth=3,0.0,9,0.9142857142857143,0.9166666666666666,0.0
depth=3,0.05,9,0.9142857142857143,0.9166666666666666,0.0
depth=3,0.1,9,0.9,0.9041095890410958,0.014285714285714285
depth=3,0.2,9,0.9,0.9041095890410958,0.014285714285714285
depth=5,0.0,9,0.9428571428571428,0.9428571428571428,0.0
depth=5,0.05,9,0.9428571428571428,0.9428571428571428,0.0
depth=5,0.1,9,0.8571428571428571,0.8484848484848485,0.11428571428571428
